"gene","Gene name","log2FoldChange","padj"
"ENSG00000142192","APP",-3.71956137921492e-06,0.747126267580385
"ENSG00000159110","IFNAR2",-3.791401561135e-06,0.605778276731872
"ENSG00000157540","DYRK1A",-4.30465687842939e-06,0.902925501108389
"ENSG00000099949","LZTR1",-9.17317659878507e-06,0.253754147176273
"ENSG00000128271","ADORA2A",-8.47721898054241e-07,0.830551121099228
"ENSG00000100099","HPS4",-1.442987826439e-05,0.871556074716269
"ENSG00000133424","LARGE1",-7.12499112631998e-06,0.072175796032282
"ENSG00000100284","TOM1",-2.5908450191061e-06,0.320283602196918
"ENSG00000100342","APOL1",1.55475274997357e-06,0.231936008288141
"ENSG00000100106","TRIOBP",1.72334421765095e-06,0.859792684136866
"ENSG00000100243","CYB5R3",-7.28572972013402e-06,0.44799046995265
"ENSG00000100241","SBF1",-1.7449394498143e-05,0.117530508199606
"ENSG00000094631","HDAC6",-1.86982562190213e-06,0.800443673794146
"ENSG00000067445","TRO",-2.5457078900021e-06,0.714390699449016
"ENSG00000102158","MAGT1",-1.46159859326506e-06,0.907542216956176
"ENSG00000165240","ATP7A",-2.80786586533411e-06,0.748284830883712
"ENSG00000126733","DACH2",2.35103826929777e-07,0.873366254454212
"ENSG00000101977","MCF2",3.87096270541888,0.00452772044211051
"ENSG00000160087","UBE2J2",-1.80388109148943e-05,0.329621646286277
"ENSG00000162572","SCNN1D",1.95722353727427e-06,0.956177415350518
"ENSG00000107404","DVL1",-1.01418761270313e-05,0.388809539048665
"ENSG00000097021","ACOT7",-1.06898968878246e-07,0.993076615271173
"ENSG00000173662","TAS1R1",5.1934861397115e-07,0.839459154451459
"ENSG00000142657","PGD",-5.22706091565027e-07,0.971465423833633
"ENSG00000142621","FHAD1",2.0284818504657,0.0286465009460761
"ENSG00000076864","RAP1GAP",-1.78357703005728e-06,0.60156444244454
"ENSG00000158062","UBXN11",4.30666595356696e-06,0.63369333266768
"ENSG00000134686","PHC2",1.51364779963484e-06,0.927020782071246
"ENSG00000066136","NFYC",4.02899842559518e-06,0.719126782604044
"ENSG00000126091","ST3GAL3",-1.20405286540888e-06,0.860406469499971
"ENSG00000185104","FAF1",1.49458256898301e-06,0.774596166133791
"ENSG00000033122","LRRC7",-1.90765582466206e-06,0.314983197001592
"ENSG00000050628","PTGER3",1.01151570273384e-06,0.942527956026181
"ENSG00000117114","ADGRL2",-5.01180404141593e-07,0.89659778236734
"ENSG00000153904","DDAH1",-3.41043013088882e-06,0.805356474549414
"ENSG00000134250","NOTCH2",1.30283428249116e-06,0.8955495743013
"ENSG00000014914","MTMR11",4.47863929203648e-07,0.317923752035768
"ENSG00000143437","ARNT",-3.08502820449508e-06,0.893729117694782
"ENSG00000143416","SELENBP1",1.07753061470081e-06,0.518021512412067
"ENSG00000143612","C1orf43",-5.3189557618055e-06,0.876047086136791
"ENSG00000143207","COP1",5.8426510667582e-06,0.823788689957646
"ENSG00000117335","CD46",-1.38267357532247e-06,0.974642655439302
"ENSG00000143469","SYT14",-8.19972029661512e-07,0.832615713174729
"ENSG00000155816","FMN2",-1.19547594915182e-05,0.797125450575682
"ENSG00000153187","HNRNPU",-8.06147200530795e-06,0.716316442183748
